,ALogp2,naAromAtom,nO,ATSc1,ATSc3,ATSc4,ATSc5,ATSm1,C3SP2,SC-3,SC-5,minwHBa,minHaaCH,minaaCH,maxHBa,hmin,gmin,LipoaffinityIndex,ETA_AlphaP,ETA_Epsilon_3,ETA_Shape_Y,ETA_BetaP_ns_d,ETA_EtaP_F,ETA_Eta_B,FMF,nHBAcc,MDEC-33,MLFER_A,nTRing,XLogP,ALogP,AMR,BCUTc-1l,CrippenLogP,SwHBa,SaasC,minHBd,minHBa,minaasC,maxHBd,maxaaCH,maxaasC,ETA_dEpsilon_B,ETA_dEpsilon_D,ETA_BetaP,ETA_EtaP_B_RC,MDEC-22,MDEC-23,MLFER_BH,MLFER_S
1884,8.64536409000003,12,2,0.272577091706736,-0.0646492565754972,0.087674166415883,-0.0176713882806868,43.9089183723583,4,1.68682597743835,0.664557624557347,0.373638723191895,0.348307301029687,1.86190051777176,10.1457845214088,-0.304627513880269,-0.0413126410212065,22.7432997757786,0.48968,0.43548,0.14587,0.02381,0.56223,0.43531,0.121495327102803,1,4.50854012042529,0.478,2,13.843,-2.9403,164.6573,-0.360299614214712,11.5323399999999,19.1285059469842,6.17369254921703,0.16521472195949,3.57348612469015,0.373638723191895,0.408718826815777,2.33821709855302,1.3583976931155,0.01765,0.02027,0.85119,0.01446,0.0,20.6607483356213,1.268,1.474
1249,0.0488852099999998,12,4,0.832096318162078,0.232213681214327,-0.0712042664531413,-0.1828389016947,51.3785002935684,1,2.22469527209162,0.605919063737016,-0.0376371565074755,0.421797586520118,1.74911769753396,13.094814505661,-0.0665249469149851,-0.0376371565074755,7.402819839878,0.48427,0.44505,0.35667,0.01515,0.96554,0.42287,0.517857142857142,6,6.98372728252915,0.104,8,2.416,0.221099999999999,134.4269,-0.316487419433947,4.34657,18.6871385833654,5.2759298597851,0.361624405704553,0.881960632749947,0.589411648224259,0.361624405704553,2.19647027944975,1.41409687368042,0.0593,0.01677,1.21212,0.02584,16.8231909542338,22.5645485916702,2.992,4.607
98,2.84799376,11,2,0.595499890445639,-0.205358895761836,0.341851822284177,-0.120120535255568,34.5428038279363,2,2.53797717646627,0.782360161368812,-1.78164351851851,0.41595060941043,1.46447415385907,12.8851545309481,0.167542044595616,-4.86595507107163,6.67121132848587,0.46623,0.44194,0.33148,0.02273,0.99298,0.53801,0.441176470588235,2,6.16360562915088,0.546,4,1.367,1.6876,83.5592,-0.360461301356542,2.87849,11.2576413165574,2.57830022518266,0.546862481103552,-1.48521145649617,0.0929629235953648,0.546862481103552,2.06045241244646,0.966888699924414,0.09587,0.02835,1.22727,0.03618,8.15311749222686,17.1799550479182,1.37199999999999,1.853
1861,0.540225000000001,18,5,0.733228623059719,-0.0265600347853156,-0.0807494603432453,0.184657025458685,39.7343696180238,3,2.14203493670128,0.303080834149578,-0.65132004001454,0.588685524657521,1.27167954492184,13.4866988862844,-0.278311884173626,-0.65132004001454,10.4148490830377,0.46625,0.44468,0.34064,0.05882,1.10568,0.35038,0.534482758620689,2,13.0045712231593,0.546,6,2.94,0.735000000000001,135.669699999999,-0.360474531186107,5.81606,18.8682381568507,1.92451491108943,0.542839237977546,2.38723257998014,-0.415150397983469,0.542839237977546,1.81579616489744,0.729315666196077,0.08376,0.01592,1.32353,0.02295,22.8891836680674,32.2048426971451,1.94399999999999,3.654
1568,61.06797316,0,10,1.97788517591029,-0.197076269533244,0.81756180590567,-1.20587773045782,99.3999009514566,0,6.03434681976242,1.23289020424975,-0.906622545891186,0.0,0.0,14.5677802357906,-0.30159967438638,-1.96996651057168,2.28484377756047,0.46622,0.43333,0.34783,0.0,1.12663,2.21746,0.0869565217391304,25,0.0,3.776,1,1.70599999999999,-7.8146,253.923099999999,-0.330743221437365,-1.85153999999999,-7.1049953110477,0.0,0.207623327027439,-1.96996651057168,0.0,0.567136824126186,0.0,0.0,0.0,0.12593,0.83784,0.03113,10.9864896903377,0.0,8.718,8.72599999999999
1477,2.08715808999999,6,2,0.213732110235925,-0.0444410902626872,0.0147772962676307,0.00840823892164796,26.5489380710818,2,2.57500269472112,1.21470041873331,0.430402865557762,0.359080451625094,1.89780894379356,9.85235252035753,-0.588781415343915,0.136196906231628,11.5152427617713,0.48667,0.44925,0.32877,0.02,0.40885,0.46992,0.368421052631578,1,8.29008911552901,0.546,11,5.24799999999999,1.44469999999999,101.936099999999,-0.370556819502856,5.80259,9.48821596919427,3.36325171497407,0.464755137315909,6.72636643178851,0.430402865557762,0.464755137315909,2.2139296999664,1.53315447320903,0.01927,0.01774,0.87,0.036,11.8512382415254,25.1978829945365,0.891999999999999,1.259
657,3.35988899999999,12,3,0.2503203411554,-0.0068796888090144,-0.0421309698564683,0.0170342097551767,22.3234071066228,6,1.82209697023994,0.709971331036627,0.243104948769631,0.500436153628117,1.6933767951625,10.0250088708322,-0.227222222222222,-0.149259259259259,6.28111030811707,0.475,0.44286,0.52632,0.05,0.8553,0.50047,0.368421052631578,0,18.2195824271631,1.089,6,2.387,1.83299999999999,84.5517,-0.36107290721324,3.86016,12.3888979171915,7.02484179474258,0.455317539052658,5.98958333333333,0.243104948769631,0.499284375787351,1.88082105064247,1.10847222222222,0.06505,0.04682,1.25,0.03792,1.10520944959211,10.7168679811018,1.091,1.753
511,3.36282244,16,2,0.109983291042354,-0.0183918190287812,-0.00135546297280097,-5.8200609909425e-05,19.5489380710818,4,1.24401693585629,0.166666666666666,0.262317649281935,0.489259259259259,1.65534209207098,9.49098623708742,0.295306122448979,0.262317649281935,6.72283302123091,0.48148,0.444,0.34615,0.05556,0.95956,0.19369,0.533333333333333,0,4.91315078433389,1.089,4,2.788,1.8338,80.8794,-0.361378522420277,4.33699,23.0891023276467,2.55553093768371,0.570348403250189,9.41991143526587,0.262317649281935,0.58367492859173,2.04518518518518,1.04545351473922,0.10126,0.04852,1.52778,0.02509,13.0633516376085,21.5658449089449,0.871,1.95699999999999
606,1.30347888999999,0,3,0.310593655158341,-0.0122686316919054,-0.0048935189935121,0.0311635884262594,26.3234071066228,1,2.22606535332623,0.986404837013492,1.44254487906273,0.0,0.0,10.564218014379,-0.000531816893424075,-0.181454567166372,8.16505678314216,0.47917,0.44545,0.26087,0.0,0.3688,0.40421,0.303571428571428,3,5.02609772455282,0.693,10,3.815,-1.14169999999999,92.7797,-0.393036284328313,3.66358,8.04054760330058,0.0,0.215230356414068,5.30818081013269,0.0,0.317604402872259,0.0,0.0,0.01417,0.03814,0.70833,0.03118,15.6265568928822,22.5675746959816,1.072,1.379
1137,3.22849023999999,22,5,0.707212541661497,-0.0587690046846574,0.153633228383587,-0.119190379495418,55.7929890278329,5,3.50264167817065,0.893158499289668,-0.168918369689473,0.48418313399955,1.75696424956405,13.0069107455628,-0.106385831338708,-5.48472940753804,9.76145783117129,0.48417,0.44369,0.35726,0.05405,1.27699,0.70802,0.442622950819672,5,18.3564719351909,0.546,6,3.489,1.79679999999999,153.323799999999,-0.346990334753802,6.01508,28.1989415607483,4.98754241648079,0.306365678598497,0.651027937750054,-0.168918369689473,0.306365678598497,2.09909452740343,1.21020040623706,0.08727,0.01478,1.38514,0.03076,13.3485844905417,33.4111418481918,1.98299999999999,4.156
